Ring_Number	Year	Time_capt_dec	Temperature_capture	Temp_meandaycapture	Temp_previousdaymean	Temp_3daypreviousrunningmean	Temp_mindaycapture	Temp_previousdaymin	Temp_3daypreviousrunningmin	Temp_maxdaycapture	Temp_previousdaymax	Temp_3daypreviousrunningmax	sex	time_measured_CORT0sec	CORT0	time_measured_CORT30	CORT30
C3F8357	2017	9.25	10	5.196291667	7.435958333	4.207597222	2.77	-1.185	-0.213	10.834	14.984	8.909666667	1	160	2980.44	1817	13387.15
C3F8357	2017	10.48333333	20.1	20.04170833	17.54016667	18.49738889	13.642	12.268	14.63466667	25.55	21.963	22.81166667	1	110	3763.53	1705	12939.4
C3F8358	2015	12.03333333	15.079	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	2	123	4781	1800	16084.16
C3F8358	2017	11.21666667	9.2	9.161791667	8.282375	8.350333333	6.408	4.766	4.64	13.016	14.218	13.497	2	167	4317.96	1780	27550.15
C3F8358	2017	11.66666667	20.8	18.65345833	15.46158333	14.95522222	12.05	12.606	9.943666667	24.895	19.056	19.61233333	2	97	5451.48	1620	23396.45
C3F8358	2018	7.766666667	11.9	12.678625	11.95395833	11.91740278	10.541	7.945	8.979	16.32	17.153	15.64833333	2	100	6938.28	1704	24554.5
C3F8359	2015	13.33333333	13.11	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	1	130	2128.84	1710	21875
C3F8361	2015	12.83333333	10.66	8.530875	7.148208333	8.642347222	5.282	5.745	7.056333333	11.102	9.336	11.21766667	2	165	6280.148	1850	28706.2
C3F8361	2016	8.833333333	9.312	9.940708333	10.66229167	13.25304167	8.841	8.792	9.146333333	12.001	12.678	16.95366667	2	NA	NA	1800	10852.95
C3F8361	2017	10.38333333	12.5	8.282375	8.802208333	7.321638889	4.766	6.357	3.974666667	14.218	12.703	12.369	2	180	7471.9	1770	29073.15
C3F8362	2015	12.91666667	10.66	8.530875	7.148208333	8.642347222	5.282	5.745	7.056333333	11.102	9.336	11.21766667	1	135	7999.768	1890	14737.32
C3F8363	2015	8.666666667	9.238	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	2	110	3386.376	1650	53005.6
C3F8363	2016	9.216666667	11.273	10.87504167	8.940583333	9.148319444	7.594	7.645	6.169666667	15.247	11.151	12.795	2	160	16083	NA	NA
C3F8364	2015	11.41666667	11.224	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	2	120	4078.62	1795	23128.28
C3F8364	2016	11.7	7.19	6.049833333	9.551708333	10.05156944	4.818	6.687	8.106666667	7.72	11.443	12.04066667	2	95	4343.28	1845	30847.95
C3F8365	2015	11.71666667	11.224	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	1	117	4121.572	1660	23392.88
C3F8366	2015	12.75	11.321	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	2	140	4804.072	1840	12956.44
C3F8366	2016	8.933333333	12.461	11.20341667	7.300958333	6.372638889	6.306	4.558	4.627333333	15.986	11.248	9.112333333	2	NA	NA	1860	10177.6
C3F8367	2015	10.25	12.243	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	2	100	4419.548	1635	15775.48
C3F8367	2016	8.666666667	10.35	9.074375	18.82720833	14.66893056	5.821	10.663	8.508333333	14.888	26.402	20.75066667	2	110	8915.4	1980	13854.95
C3F8368	2015	10.41666667	12.243	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	1	135	3855.964	1698	25106.32
C3F8369	2015	11.5	13.209	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	1	184	6151.572	1740	19993.44
C3F8370	2015	12.66666667	14.314	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	1	137	3775.716	1916	13691
C3F8372	2019	10.55	13.834	10.11066667	6.787791667	4.68775	4.402	0.934	1.116333333	15.318	12.001	8.200333333	1	90	725.13	1607	21879.03
C3F8397	2017	12.3	12.34	8.579541667	6.46875	8.018486111	1.398	4.48	6.021666667	15.915	9.089	9.965666667	2	130	3107.07	1982	23102.35
